"sample_id","idat_path","condition","gse_id","array_type"
"GSM2739721_3999356083_R01C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739722_3999356083_R02C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739723_3999356083_R03C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739724_3999356083_R04C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739725_3999356083_R06C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739726_3999356083_R05C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739727_3999356082_R01C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739728_3999356082_R02C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739729_3999356082_R03C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739730_3999356082_R04C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739731_3999356082_R05C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739732_3999356064_R01C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739733_3999356064_R02C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739734_3999356064_R03C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739735_3999356064_R04C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739736_3999356064_R05C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739737_3999356064_R06C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739738_3999356028_R01C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739739_3999356028_R02C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739740_3999356028_R03C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739741_3999356028_R04C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739742_3999356028_R05C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739743_3999356028_R06C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739744_3999834039_R01C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM2739745_3999834039_R02C01","/Volumes/T9/EpiMECoV/data/ME/GSE102504/GSE102504_RAW","ME","GSE102504","IlluminaHumanMethylation450k"
"GSM3090983_200526590034_R02C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090984_200526580039_R02C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090985_200526580053_R06C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090986_200526580069_R02C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090987_200526580034_R03C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090988_200526580035_R02C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090989_200526580088_R03C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090990_200526580088_R06C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090991_200134080024_R07C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090992_200526580062_R02C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090993_200526580071_R07C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090994_200526580078_R06C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090995_200526580083_R07C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090996_200134080026_R03C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090997_200526580044_R05C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090998_200526580051_R04C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3090999_200526580080_R05C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3091000_200526580037_R06C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3091001_200526580007_R01C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM3091002_200526580007_R07C01","/Volumes/T9/EpiMECoV/data/ME/GSE112905/GSE112905_RAW","ME","GSE112905","IlluminaHumanMethylation450k"
"GSM4744443_200090280070_R06C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744444_200090280071_R01C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744445_200090280071_R02C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744446_200090280071_R03C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744447_200090280071_R04C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744448_200090280071_R05C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744449_200090280071_R06C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744450_200090280071_R01C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744451_200090280071_R02C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744452_200090280071_R03C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744453_200090280071_R04C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744454_200090280071_R05C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744455_200090280071_R06C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744456_200256300052_R01C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744457_200256300052_R02C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744458_200256300052_R03C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744459_200256300052_R04C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744460_200256300052_R05C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744461_200256300052_R06C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744462_200256300052_R01C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744463_200256300052_R02C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744464_200256300052_R03C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744465_200256300052_R04C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744466_200256300052_R05C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744467_200256300052_R06C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744468_200256300057_R01C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744469_200256300057_R02C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744470_200256300057_R03C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744471_200256300057_R04C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744472_200256300057_R05C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744473_200256300057_R06C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744474_200256300057_R01C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744475_200256300057_R02C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744476_200256300057_R03C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744477_200256300057_R04C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744478_200256300057_R05C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744479_200256300057_R06C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744480_200256300061_R01C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744481_200256300061_R02C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744482_200256300061_R03C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744483_200256300061_R04C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744484_200256300061_R05C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744485_200256300061_R06C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744486_200256300061_R01C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744487_200256300061_R02C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744488_200256300061_R03C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744489_200256300061_R04C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744490_200256300061_R05C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744491_200256300061_R06C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744492_200256300065_R01C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744493_200256300065_R02C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744494_200256300065_R03C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744495_200256300065_R04C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744496_200256300065_R05C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744497_200256300065_R06C01","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744498_200256300065_R01C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
"GSM4744499_200256300065_R02C02","/Volumes/T9/EpiMECoV/data/ME/GSE156792/GSE156792_RAW","ME","GSE156792","IlluminaHumanMethylation450k"
