,logFC,AveExpr,t,P.Value,adj.P.Val,B
cg22319618,0.664716271200165,0.529204224878921,78.6905413524536,0,0,776.887759147903
cg12754671,0.276894174950241,0.248530398318578,70.1772148784038,3.40092142430282e-313,7.69378550595043e-308,707.772182630693
cg13658231,0.270075437316319,0.22539760071034,68.2259211810898,6.43297141671005e-306,9.70205738801571e-301,691.024272936069
cg16490906,0.594192449219018,0.442427990368076,68.18366645746,9.28338603887308e-306,1.05007396586156e-300,690.657635455434
cg24065451,0.550922384729371,0.691868968997788,67.8497013059973,1.69553502926024e-304,1.53429982118776e-299,687.75387977319
cg17475136,0.471579123550594,0.591049198198566,67.1490154027175,7.78596472625637e-302,5.87130516381479e-297,681.626774207963
cg20396393,0.440370684747,0.717775997153773,67.0126021654904,2.58198958330783e-301,1.6688984756234e-296,680.428400908577
cg07703783,0.309230893813949,0.226191151481797,66.1943720706964,3.55915302782689e-298,2.0129368311242e-293,673.202270982855
cg13713155,0.523671326486982,0.730825791973442,65.0892308716901,6.86997239924632e-294,3.45371069106244e-289,663.337497190206
cg26935391,0.395009935822238,0.308391502556576,65.0232979301166,1.24251693517631e-293,5.62180514871328e-289,662.745113716653
cg03564204,0.425205839823743,0.752919198054238,65.0075630709298,1.43135063887323e-293,5.8874444600919e-289,662.603677259369
cg10499429,0.515494748333246,0.44472261847451,64.9751613453527,1.91560881124562e-293,7.2226912789543e-289,662.312348473116
cg21603534,0.513692762995905,0.733096358674498,64.7023622093999,2.23702568789763e-292,7.78576141204882e-288,659.855383012226
cg26278647,0.540752490410241,0.553210805299375,64.3278726126537,6.61017647647342e-291,2.13628155522131e-286,656.470305857441
cg03996151,0.503079172662224,0.497924606666565,64.0824210222423,6.12905013437197e-290,1.848738080298e-285,654.243907309214
cg08909592,0.559924381054167,0.71182026075448,63.8102341332226,7.29511146058871e-289,2.06293441604859e-284,651.767821660289
cg21465061,0.392052444764611,0.766806207778463,63.7859889767821,9.09921699407538e-289,2.42174589801199e-284,651.546895947886
cg07110356,0.739145356223827,0.459180687949158,63.5914059355159,5.37263516689585e-288,1.35048049953751e-283,649.771642032676
cg08394355,0.461776762372673,0.734191210684686,63.521714949427,1.01578177582711e-287,2.41891322009633e-283,649.13487966809
cg11160362,0.272049957004638,0.243456259468896,63.1332436375055,3.56999510189813e-286,8.07627496919556e-282,645.576272364986
cg01577700,0.318887777769097,0.55801696179535,62.7400864976542,1.33066772707126e-284,2.73665729598443e-280,641.958838751212
cg22618215,0.263384991759408,0.227238440448975,62.570713099742,6.35596215718093e-284,1.25033658517521e-279,640.395481251739
cg12114260,0.442283588658002,0.684683490213745,62.2535561620639,1.19765448976324e-282,2.24510487579065e-278,637.459983526123
cg25341338,0.315355433057177,0.245607099140817,62.2497646535281,1.24051828355136e-282,2.24510487579065e-278,637.424826856338
cg16952286,0.207704936964908,0.163563605461286,62.1923178249213,2.11383114866081e-282,3.67849709501935e-278,636.891967899944
cg07016556,0.530368435015182,0.511960133849198,62.0106783472553,1.14268955189913e-281,1.91486413268673e-277,635.204854160786
cg03066664,0.380648419564901,0.779631790652608,61.7784280758071,9.93524796612677e-281,1.60544026714927e-276,633.042590186726
cg14237933,0.255727682938724,0.184512585086634,61.6519192665582,3.23471232994264e-280,5.04674240627427e-276,631.862387721783
cg07081054,0.225698352912456,0.204559772318585,61.4940184110529,1.41492869604403e-279,2.13396244437069e-275,630.386949429145
